V15,day,period
3,Thursday,P47
0,Friday,P0
0,Friday,P1
0,Friday,P2
0,Friday,P3
0,Friday,P4
0,Friday,P5
1,Friday,P6
0,Friday,P7
0,Friday,P8
0,Friday,P9
0,Friday,P10
2,Friday,P11
0,Friday,P12
6,Friday,P13
2,Friday,P14
9,Friday,P15
4,Friday,P16
19,Friday,P17
8,Friday,P18
12,Friday,P19
7,Friday,P20
2,Friday,P21
2,Friday,P22
16,Friday,P23
5,Friday,P24
6,Friday,P25
2,Friday,P26
24,Friday,P27
9,Friday,P28
6,Friday,P29
1,Friday,P30
16,Friday,P31
3,Friday,P32
2,Friday,P33
2,Friday,P34
8,Friday,P35
15,Friday,P36
18,Friday,P37
4,Friday,P38
5,Friday,P39
12,Friday,P40
7,Friday,P41
4,Friday,P42
11,Friday,P43
4,Friday,P44
2,Friday,P45
0,Friday,P46
4,Friday,P47
3,Saturday,P0
0,Saturday,P1
2,Saturday,P2
0,Saturday,P3
0,Saturday,P4
0,Saturday,P5
0,Saturday,P6
1,Saturday,P7
5,Saturday,P8
1,Saturday,P9
1,Saturday,P10
0,Saturday,P11
3,Saturday,P12
1,Saturday,P13
1,Saturday,P14
1,Saturday,P15
2,Saturday,P16
7,Saturday,P17
3,Saturday,P18
12,Saturday,P19
0,Saturday,P20
1,Saturday,P21
7,Saturday,P22
5,Saturday,P23
13,Saturday,P24
4,Saturday,P25
2,Saturday,P26
16,Saturday,P27
1,Saturday,P28
2,Saturday,P29
0,Saturday,P30
10,Saturday,P31
5,Saturday,P32
4,Saturday,P33
2,Saturday,P34
15,Saturday,P35
6,Saturday,P36
4,Saturday,P37
1,Saturday,P38
13,Saturday,P39
10,Saturday,P40
4,Saturday,P41
3,Saturday,P42
4,Saturday,P43
4,Saturday,P44
4,Saturday,P45
2,Saturday,P46
5,Saturday,P47
1,Sunday,P0
3,Sunday,P1
0,Sunday,P2
1,Sunday,P3
0,Sunday,P4
0,Sunday,P5
0,Sunday,P6
0,Sunday,P7
4,Sunday,P8
0,Sunday,P9
1,Sunday,P10
1,Sunday,P11
1,Sunday,P12
0,Sunday,P13
0,Sunday,P14
2,Sunday,P15
0,Sunday,P16
5,Sunday,P17
3,Sunday,P18
3,Sunday,P19
0,Sunday,P20
1,Sunday,P21
4,Sunday,P22
17,Sunday,P23
3,Sunday,P24
1,Sunday,P25
1,Sunday,P26
15,Sunday,P27
3,Sunday,P28
2,Sunday,P29
3,Sunday,P30
18,Sunday,P31
3,Sunday,P32
4,Sunday,P33
3,Sunday,P34
16,Sunday,P35
4,Sunday,P36
10,Sunday,P37
2,Sunday,P38
18,Sunday,P39
13,Sunday,P40
14,Sunday,P41
4,Sunday,P42
16,Sunday,P43
0,Sunday,P44
0,Sunday,P45
0,Sunday,P46
8,Sunday,P47
11,Monday,P0
1,Monday,P1
0,Monday,P2
0,Monday,P3
1,Monday,P4
0,Monday,P5
1,Monday,P6
0,Monday,P7
8,Monday,P8
0,Monday,P9
0,Monday,P10
0,Monday,P11
1,Monday,P12
1,Monday,P13
4,Monday,P14
12,Monday,P15
2,Monday,P16
4,Monday,P17
25,Monday,P18
15,Monday,P19
19,Monday,P20
3,Monday,P21
5,Monday,P22
22,Monday,P23
20,Monday,P24
3,Monday,P25
1,Monday,P26
15,Monday,P27
14,Monday,P28
3,Monday,P29
1,Monday,P30
20,Monday,P31
3,Monday,P32
5,Monday,P33
1,Monday,P34
23,Monday,P35
1,Monday,P36
12,Monday,P37
3,Monday,P38
13,Monday,P39
9,Monday,P40
14,Monday,P41
3,Monday,P42
10,Monday,P43
0,Monday,P44
1,Monday,P45
0,Monday,P46
4,Monday,P47
1,Tuesday,P0
0,Tuesday,P1
1,Tuesday,P2
0,Tuesday,P3
0,Tuesday,P4
0,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
0,Tuesday,P9
0,Tuesday,P10
0,Tuesday,P11
4,Tuesday,P12
1,Tuesday,P13
3,Tuesday,P14
21,Tuesday,P15
6,Tuesday,P16
22,Tuesday,P17
7,Tuesday,P18
14,Tuesday,P19
14,Tuesday,P20
2,Tuesday,P21
3,Tuesday,P22
12,Tuesday,P23
25,Tuesday,P24
2,Tuesday,P25
2,Tuesday,P26
6,Tuesday,P27
15,Tuesday,P28
2,Tuesday,P29
4,Tuesday,P30
3,Tuesday,P31
20,Tuesday,P32
3,Tuesday,P33
1,Tuesday,P34
18,Tuesday,P35
0,Tuesday,P36
10,Tuesday,P37
2,Tuesday,P38
13,Tuesday,P39
3,Tuesday,P40
7,Tuesday,P41
1,Tuesday,P42
7,Tuesday,P43
1,Tuesday,P44
0,Tuesday,P45
0,Tuesday,P46
3,Tuesday,P47
5,Wednesday,P0
3,Wednesday,P1
1,Wednesday,P2
0,Wednesday,P3
1,Wednesday,P4
0,Wednesday,P5
0,Wednesday,P6
0,Wednesday,P7
1,Wednesday,P8
1,Wednesday,P9
0,Wednesday,P10
1,Wednesday,P11
5,Wednesday,P12
4,Wednesday,P13
3,Wednesday,P14
11,Wednesday,P15
4,Wednesday,P16
20,Wednesday,P17
8,Wednesday,P18
28,Wednesday,P19
12,Wednesday,P20
2,Wednesday,P21
3,Wednesday,P22
20,Wednesday,P23
7,Wednesday,P24
0,Wednesday,P25
1,Wednesday,P26
19,Wednesday,P27
6,Wednesday,P28
1,Wednesday,P29
2,Wednesday,P30
20,Wednesday,P31
8,Wednesday,P32
2,Wednesday,P33
2,Wednesday,P34
20,Wednesday,P35
4,Wednesday,P36
9,Wednesday,P37
3,Wednesday,P38
13,Wednesday,P39
4,Wednesday,P40
2,Wednesday,P41
9,Wednesday,P42
8,Wednesday,P43
2,Wednesday,P44
1,Wednesday,P45
1,Wednesday,P46
1,Wednesday,P47
6,Thursday,P0
2,Thursday,P1
0,Thursday,P2
1,Thursday,P3
1,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
0,Thursday,P9
1,Thursday,P10
0,Thursday,P11
0,Thursday,P12
1,Thursday,P13
1,Thursday,P14
10,Thursday,P15
6,Thursday,P16
15,Thursday,P17
5,Thursday,P18
20,Thursday,P19
13,Thursday,P20
2,Thursday,P21
2,Thursday,P22
26,Thursday,P23
7,Thursday,P24
4,Thursday,P25
1,Thursday,P26
16,Thursday,P27
4,Thursday,P28
5,Thursday,P29
2,Thursday,P30
12,Thursday,P31
7,Thursday,P32
2,Thursday,P33
0,Thursday,P34
15,Thursday,P35
9,Thursday,P36
15,Thursday,P37
7,Thursday,P38
7,Thursday,P39
0,Thursday,P40
12,Thursday,P41
2,Thursday,P42
6,Thursday,P43
0,Thursday,P44
3,Thursday,P45
2,Thursday,P46
2,Thursday,P47
6,Friday,P0
0,Friday,P1
1,Friday,P2
1,Friday,P3
0,Friday,P4
0,Friday,P5
0,Friday,P6
0,Friday,P7
0,Friday,P8
1,Friday,P9
0,Friday,P10
0,Friday,P11
2,Friday,P12
4,Friday,P13
3,Friday,P14
14,Friday,P15
2,Friday,P16
14,Friday,P17
5,Friday,P18
25,Friday,P19
12,Friday,P20
4,Friday,P21
1,Friday,P22
29,Friday,P23
8,Friday,P24
2,Friday,P25
5,Friday,P26
11,Friday,P27
14,Friday,P28
3,Friday,P29
4,Friday,P30
7,Friday,P31
4,Friday,P32
3,Friday,P33
2,Friday,P34
15,Friday,P35
9,Friday,P36
25,Friday,P37
11,Friday,P38
5,Friday,P39
29,Friday,P40
3,Friday,P41
6,Friday,P42
6,Friday,P43
12,Friday,P44
1,Friday,P45
1,Friday,P46
7,Friday,P47
6,Saturday,P0
0,Saturday,P1
0,Saturday,P2
1,Saturday,P3
0,Saturday,P4
1,Saturday,P5
1,Saturday,P6
1,Saturday,P7
1,Saturday,P8
0,Saturday,P9
0,Saturday,P10
0,Saturday,P11
1,Saturday,P12
0,Saturday,P13
0,Saturday,P14
2,Saturday,P15
2,Saturday,P16
9,Saturday,P17
2,Saturday,P18
9,Saturday,P19
5,Saturday,P20
3,Saturday,P21
2,Saturday,P22
20,Saturday,P23
6,Saturday,P24
5,Saturday,P25
5,Saturday,P26
17,Saturday,P27
10,Saturday,P28
6,Saturday,P29
4,Saturday,P30
6,Saturday,P31
5,Saturday,P32
1,Saturday,P33
0,Saturday,P34
11,Saturday,P35
0,Saturday,P36
5,Saturday,P37
3,Saturday,P38
12,Saturday,P39
12,Saturday,P40
3,Saturday,P41
0,Saturday,P42
4,Saturday,P43
2,Saturday,P44
3,Saturday,P45
1,Saturday,P46
8,Saturday,P47
4,Sunday,P0
0,Sunday,P1
0,Sunday,P2
0,Sunday,P3
0,Sunday,P4
2,Sunday,P5
0,Sunday,P6
0,Sunday,P7
0,Sunday,P8
0,Sunday,P9
0,Sunday,P10
1,Sunday,P11
